n pokedex,nome,geração,tipo 1,tipo 2,vida,ataque,defesa,velocidade,sp ataque,sp defesa,total atr,md atr,altura m,peso kg,% macho,xp evolução,taxa de captura,classificação,lendário,habilidades,contra inseto,contra escuridão,contra dragão,contra elétrico,contra fada,contra lutador,contra fogo,contra voador,contra fantasma,contra planta,contra terra,contra gelo,contra normal,contra venenoso,contra psíquico,contra pedra,contra aço,contra água
250,Ho-Oh,2,fogo,voador,106,130,90,90,110,154,680,113.33333333333333,3.8,199.0,,1250000,3.0,Pokémon Arco-íris,True,"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
251,Celebi,2,psíquico,planta,100,100,100,100,100,100,600,100.0,0.6,5.0,,1059860,45.0,Pokémon Viagem no Tempo,True,['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
252,Treecko,3,planta,,40,45,35,70,65,55,310,51.666666666666664,0.5,5.0,88.1,1059860,45.0,Pokémon Geco de Madeira,False,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
253,Grovyle,3,planta,,50,65,45,95,85,65,405,67.5,0.9,21.6,88.1,1059860,45.0,Pokémon Geco de Madeira,False,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
254,Sceptile,3,planta,,70,110,75,145,145,85,630,105.0,1.7,52.2,88.1,1059860,45.0,Pokémon Floresta,False,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
255,Torchic,3,fogo,,45,60,40,45,70,50,310,51.666666666666664,0.4,2.5,88.1,1059860,45.0,Pokémon Pintinho,False,"['Blaze', 'Speed Boost']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
256,Combusken,3,fogo,lutador,60,85,60,55,85,60,405,67.5,0.9,19.5,88.1,1059860,45.0,Pokémon Ave Jovem,False,"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
257,Blaziken,3,fogo,lutador,80,160,80,100,130,80,630,105.0,1.9,52.0,88.1,1059860,45.0,Pokémon Chama Ardente,False,"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
258,Mudkip,3,água,,50,70,50,40,50,50,310,51.666666666666664,0.4,7.6,88.1,1059860,45.0,Pokémon Peixe de Lama,False,"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
259,Marshtomp,3,água,terra,70,85,70,50,60,70,405,67.5,0.7,28.0,88.1,1059860,45.0,Pokémon Peixe de Lama,False,"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
260,Swampert,3,água,terra,100,150,110,70,95,110,635,105.83333333333333,1.5,81.9,88.1,1059860,45.0,Pokémon Peixe de Lama,False,"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
261,Poochyena,3,escuridão,,35,55,35,35,30,30,220,36.666666666666664,0.5,13.6,50.0,1000000,255.0,Pokémon Mordida,False,"['Run Away', 'Quick Feet', 'Rattled']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
262,Mightyena,3,escuridão,,70,90,70,70,60,60,420,70.0,1.0,37.0,50.0,1000000,127.0,Pokémon Mordida,False,"['Intimidate', 'Quick Feet', 'Moxie']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
263,Zigzagoon,3,normal,,38,30,41,60,30,41,240,40.0,0.4,17.5,50.0,1000000,255.0,Pokémon Guaxinim Pequeno,False,"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264,Linoone,3,normal,,78,70,61,100,50,61,420,70.0,0.5,32.5,50.0,1000000,90.0,Pokémon Pressa,False,"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
265,Wurmple,3,inseto,,45,45,35,20,20,30,195,32.5,0.3,3.6,50.0,1000000,255.0,Pokémon Verme,False,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
266,Silcoon,3,inseto,,50,35,55,15,25,25,205,34.166666666666664,0.6,10.0,50.0,1000000,120.0,Pokémon Casulo,False,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
267,Beautifly,3,inseto,voador,60,70,50,65,100,50,395,65.83333333333333,1.0,28.4,50.0,1000000,45.0,Pokémon Borboleta,False,"['Swarm', 'Rivalry']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
268,Cascoon,3,inseto,,50,35,55,15,25,25,205,34.166666666666664,0.7,11.5,50.0,1000000,120.0,Pokémon Casulo,False,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
269,Dustox,3,inseto,venenoso,60,50,70,65,50,90,385,64.16666666666667,1.2,31.6,50.0,1000000,45.0,Pokémon Mariposa Venenosa,False,"['Shield Dust', 'Compoundeyes']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
270,Lotad,3,água,planta,40,30,30,30,40,50,220,36.666666666666664,0.5,2.6,50.0,1059860,255.0,Pokémon Erva Aquática,False,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
271,Lombre,3,água,planta,60,50,50,50,60,70,340,56.666666666666664,1.2,32.5,50.0,1059860,120.0,Pokémon Alegre,False,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
272,Ludicolo,3,água,planta,80,70,70,70,90,100,480,80.0,1.5,55.0,50.0,1059860,45.0,Pokémon Despreocupado,False,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
273,Seedot,3,planta,,40,40,50,30,30,30,220,36.666666666666664,0.5,4.0,50.0,1059860,255.0,Pokémon Bolota,False,"['Chlorophyll', 'Early Bird', 'Pickpocket']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
274,Nuzleaf,3,planta,escuridão,70,70,40,60,60,40,340,56.666666666666664,1.0,28.0,50.0,1059860,120.0,Pokémon Astuto,False,"['Chlorophyll', 'Early Bird', 'Pickpocket']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
275,Shiftry,3,planta,escuridão,90,100,60,80,90,60,480,80.0,1.3,59.6,50.0,1059860,45.0,Pokémon Malvado,False,"['Chlorophyll', 'Early Bird', 'Pickpocket']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
276,Taillow,3,normal,voador,40,55,30,85,30,30,270,45.0,0.3,2.3,50.0,1059860,200.0,Pokémon Andorinha Minúscula,False,"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
277,Swellow,3,normal,voador,60,85,60,125,75,50,455,75.83333333333333,0.7,19.8,50.0,1059860,45.0,Pokémon Andorinha,False,"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
278,Wingull,3,água,voador,40,30,30,85,55,30,270,45.0,0.6,9.5,50.0,1000000,190.0,Pokémon Gaivota,False,"['Keen Eye', 'Hydration', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
279,Pelipper,3,água,voador,60,50,100,65,95,70,440,73.33333333333333,1.2,28.0,50.0,1000000,45.0,Pokémon Pássaro Aquático,False,"['Keen Eye', 'Drizzle', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
280,Ralts,3,psíquico,fada,28,25,25,40,45,35,198,33.0,0.4,6.6,50.0,1250000,235.0,Pokémon Sentimento,False,"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
281,Kirlia,3,psíquico,fada,38,35,35,50,65,55,278,46.333333333333336,0.8,20.2,50.0,1250000,120.0,Pokémon Emoção,False,"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
282,Gardevoir,3,psíquico,fada,68,85,65,100,165,135,618,103.0,1.6,48.4,50.0,1250000,45.0,Pokémon Abraço,False,"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
283,Surskit,3,inseto,água,40,30,32,65,50,52,269,44.833333333333336,0.5,1.7,50.0,1000000,200.0,Pokémon Escorregador de Lagoa,False,"['Swift Swim', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5
284,Masquerain,3,inseto,voador,70,60,62,80,100,82,454,75.66666666666667,0.8,3.6,50.0,1000000,75.0,Pokémon Olho,False,"['Intimidate', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
285,Shroomish,3,planta,,60,40,60,35,40,60,295,49.166666666666664,0.4,4.5,50.0,1640000,255.0,Pokémon Cogumelo,False,"['Effect Spore', 'Poison Heal', 'Quick Feet']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
286,Breloom,3,planta,lutador,60,130,80,70,60,60,460,76.66666666666667,1.2,39.2,50.0,1640000,90.0,Pokémon Cogumelo,False,"['Effect Spore', 'Poison Heal', 'Technician']",1.0,0.5,1.0,0.5,2.0,1.0,2.0,4.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5
287,Slakoth,3,normal,,60,60,60,30,35,35,280,46.666666666666664,0.8,24.0,50.0,1250000,255.0,Pokémon Preguiçoso,False,['Truant'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,Vigoroth,3,normal,,80,80,80,90,55,55,440,73.33333333333333,1.4,46.5,50.0,1250000,120.0,Pokémon Macaco Selvagem,False,['Vital Spirit'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289,Slaking,3,normal,,150,160,100,100,95,65,670,111.66666666666667,2.0,130.5,50.0,1250000,45.0,Pokémon Preguiça,False,['Truant'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290,Nincada,3,inseto,terra,31,45,90,40,30,30,266,44.333333333333336,0.5,5.5,50.0,600000,255.0,Pokémon Estagiário,False,"['Compoundeyes', 'Run Away']",1.0,1.0,1.0,0.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,2.0
291,Ninjask,3,inseto,voador,61,90,45,160,50,50,456,76.0,0.8,12.0,50.0,600000,120.0,Pokémon Ninja,False,"['Speed Boost', 'Infiltrator']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
292,Shedinja,3,inseto,fantasma,1,90,45,40,30,30,236,39.333333333333336,0.8,1.2,,600000,45.0,Pokémon Desprezado,False,['Wonder Guard'],0.5,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.5,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0
293,Whismur,3,normal,,64,51,23,28,51,23,240,40.0,0.6,16.3,50.0,1059860,190.0,Pokémon Sussurro,False,"['Soundproof', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,Loudred,3,normal,,84,71,43,48,71,43,360,60.0,1.0,40.5,50.0,1059860,120.0,Pokémon Voz Alta,False,"['Soundproof', 'Scrappy']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,Exploud,3,normal,,104,91,63,68,91,73,490,81.66666666666667,1.5,84.0,50.0,1059860,45.0,Pokémon Barulhento,False,"['Soundproof', 'Scrappy']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,Makuhita,3,lutador,,72,60,30,25,20,30,237,39.5,1.0,86.4,75.4,1640000,180.0,Pokémon Coragem,False,"['Thick Fat', 'Guts', 'Sheer Force']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
297,Hariyama,3,lutador,,144,120,60,50,40,60,474,79.0,2.3,253.8,75.4,1640000,200.0,Pokémon Empurrão de Braço,False,"['Thick Fat', 'Guts', 'Sheer Force']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
298,Azurill,3,normal,fada,50,20,40,20,20,40,190,31.666666666666668,0.2,2.0,24.6,800000,150.0,Pokémon Bolinha,False,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
299,Nosepass,3,pedra,,30,45,135,30,45,90,375,62.5,1.0,97.0,50.0,1000000,255.0,Pokémon Bússola,False,"['Sturdy', 'Magnet Pull', 'Sand Force']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0
300,Skitty,3,normal,,50,45,45,50,35,35,260,43.333333333333336,0.6,11.0,24.6,800000,255.0,Pokémon Gatinho,False,"['Cute Charm', 'Normalize', 'Wonder Skin ']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
301,Delcatty,3,normal,,70,65,65,90,55,55,400,66.66666666666667,1.1,32.6,24.6,800000,60.0,Pokémon Prim,False,"['Cute Charm', 'Normalize', 'Wonder Skin ']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,Sableye,3,escuridão,fantasma,50,85,125,20,85,115,480,80.0,0.5,11.0,50.0,1059860,45.0,Pokémon Escuridão,False,"['Keen Eye', 'Stall', 'Prankster']",1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0
303,Mawile,3,aço,fada,50,105,125,50,55,95,480,80.0,0.6,11.5,50.0,800000,45.0,Pokémon Enganador,False,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",0.25,0.5,0.0,1.0,0.5,1.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0
304,Aron,3,aço,pedra,50,70,100,30,40,40,330,55.0,0.4,60.0,50.0,1250000,180.0,Pokémon Armadura de Ferro,False,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
305,Lairon,3,aço,pedra,60,90,140,40,50,50,430,71.66666666666667,0.9,120.0,50.0,1250000,90.0,Pokémon Armadura de Ferro,False,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
306,Aggron,3,aço,pedra,70,140,230,50,60,80,630,105.0,2.1,360.0,50.0,1250000,45.0,Pokémon Armadura de Ferro,False,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
307,Meditite,3,lutador,psíquico,30,40,55,60,40,55,280,46.666666666666664,0.6,11.2,50.0,1000000,180.0,Pokémon Meditação,False,"['Pure Power', 'Telepathy']",1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
308,Medicham,3,lutador,psíquico,60,100,85,100,80,85,510,85.0,1.3,31.5,50.0,1000000,90.0,Pokémon Meditação,False,"['Pure Power', 'Telepathy']",1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
309,Electrike,3,elétrico,,40,45,40,65,65,40,295,49.166666666666664,0.6,15.2,50.0,1250000,120.0,Pokémon Relâmpago,False,"['Static', 'Lightningrod', 'Minus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
310,Manectric,3,elétrico,,70,75,80,135,135,80,575,95.83333333333333,1.5,40.2,50.0,1250000,45.0,Pokémon Descarga,False,"['Static', 'Lightningrod', 'Minus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
311,Plusle,3,elétrico,,60,50,40,95,85,75,405,67.5,0.4,4.2,50.0,1000000,200.0,Pokémon Incentivo,False,"['Plus', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
312,Minun,3,elétrico,,60,40,50,95,75,85,405,67.5,0.4,4.2,50.0,1000000,200.0,Pokémon Incentivo,False,"['Minus', 'Volt Absorb']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
313,Volbeat,3,inseto,,65,73,75,85,47,85,430,71.66666666666667,0.7,17.7,100.0,600000,150.0,Pokémon Vagalume,False,"['Illuminate', 'Swarm', 'Prankster']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
314,Illumise,3,inseto,,65,47,75,85,73,85,430,71.66666666666667,0.6,17.7,0.0,1640000,150.0,Pokémon Vagalume,False,"['Oblivious', 'Tinted Lens', 'Prankster']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
315,Roselia,3,planta,venenoso,50,60,45,65,100,80,400,66.66666666666667,0.3,2.0,50.0,1059860,150.0,Pokémon Espinho,False,"['Natural Cure', 'Poison Point', 'Leaf Guard']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
316,Gulpin,3,venenoso,,70,43,53,40,43,53,302,50.333333333333336,0.4,10.3,50.0,1640000,225.0,Pokémon Estômago,False,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
317,Swalot,3,venenoso,,100,73,83,55,73,83,467,77.83333333333333,1.7,80.0,50.0,1640000,75.0,Pokémon Saco de Veneno,False,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
318,Carvanha,3,água,escuridão,45,90,20,65,65,20,305,50.833333333333336,0.8,20.8,50.0,1250000,225.0,Pokémon Selvagem,False,"['Rough Skin', 'Speed Boost']",2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
319,Sharpedo,3,água,escuridão,70,140,70,105,110,65,560,93.33333333333333,1.8,88.8,50.0,1250000,60.0,Pokémon Brutal,False,"['Rough Skin', 'Speed Boost']",2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
320,Wailmer,3,água,,130,70,35,60,70,35,400,66.66666666666667,2.0,130.0,50.0,1640000,125.0,Pokémon Baleia de Bola,False,"['Water Veil', 'Oblivious', 'Pressure']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
321,Wailord,3,água,,170,90,45,60,90,45,500,83.33333333333333,14.5,398.0,50.0,1640000,60.0,Pokémon Baleia Flutuante,False,"['Water Veil', 'Oblivious', 'Pressure']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
322,Numel,3,fogo,terra,60,60,40,35,65,45,305,50.833333333333336,0.7,24.0,50.0,1000000,255.0,Pokémon Entorpecente,False,"['Oblivious', 'Simple', 'Own Tempo']",0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0
323,Camerupt,3,fogo,terra,70,120,100,20,145,105,560,93.33333333333333,1.9,220.0,50.0,1000000,150.0,Pokémon Erupção,False,"['Magma Armor', 'Solid Rock', 'Anger Point']",0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0
324,Torkoal,3,fogo,,70,85,140,20,85,70,470,78.33333333333333,0.5,80.4,50.0,1000000,90.0,Pokémon Carvão,False,"['White Smoke', 'Drought', 'Shell Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
325,Spoink,3,psíquico,,60,25,35,60,70,80,330,55.0,0.7,30.6,50.0,800000,255.0,Pokémon Quicante,False,"['Thick Fat', 'Own Tempo', 'Gluttony']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
326,Grumpig,3,psíquico,,80,45,65,80,90,110,470,78.33333333333333,0.9,71.5,50.0,800000,60.0,Pokémon Manipulação,False,"['Thick Fat', 'Own Tempo', 'Gluttony']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
327,Spinda,3,normal,,60,60,60,60,60,60,360,60.0,1.1,5.0,50.0,800000,255.0,Pokémon Panda com Manchas,False,"['Own Tempo', 'Tangled Feet', 'Contrary']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
328,Trapinch,3,terra,,45,100,45,10,45,45,290,48.333333333333336,0.7,15.0,50.0,1059860,255.0,Pokémon Formigueiro,False,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
329,Vibrava,3,terra,dragão,50,70,50,70,50,50,340,56.666666666666664,1.1,15.3,50.0,1059860,120.0,Pokémon Vibração,False,['Levitate'],1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
330,Flygon,3,terra,dragão,80,100,80,100,80,80,520,86.66666666666667,2.0,82.0,50.0,1059860,45.0,Pokémon Místico,False,['Levitate'],1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
331,Cacnea,3,planta,,50,85,40,35,85,40,335,55.833333333333336,0.4,51.3,50.0,1059860,190.0,Pokémon Cacto,False,"['Sand Veil', 'Water Absorb']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
332,Cacturne,3,planta,escuridão,70,115,60,55,115,60,475,79.16666666666667,1.3,77.4,50.0,1059860,60.0,Pokémon Espantalho,False,"['Sand Veil', 'Water Absorb']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
333,Swablu,3,normal,voador,45,40,60,50,40,75,310,51.666666666666664,0.4,1.2,50.0,600000,255.0,Pokémon Pássaro de Algodão,False,"['Natural Cure', 'Cloud Nine']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
334,Altaria,3,dragão,voador,75,110,110,80,110,105,590,98.33333333333333,1.1,20.6,50.0,600000,45.0,Pokémon Zumbido,False,"['Natural Cure', 'Cloud Nine']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
